"Work type","Work item ID","Parent","Epic Name","Summary","Description","Priority","Component","Story Points","Labels","Labels","Labels","Labels","Labels"
"Story","50","43","","Fix the contrast failures found in the brand review","Several brand pairings fall below WCAG AA. Correct them at token level before components are built on top of them.

*Acceptance criteria*
* Every text/background pair used in the product meets 4.5:1, or 3:1 for large text.
* Control boundaries and focus rings meet the 3:1 non-text contrast requirement of WCAG 1.4.11.
* A contrast test runs in CI against the token file and fails on regression.
* The corrected values are pushed back into the brand package and Figma variables.

*Subtasks*
* Recompute relative luminance for every token pairing in use
* Adjust the failing accent and muted-text values
* Write the automated contrast assertion over the token JSON
* Update the brand package document with corrected swatches

_BRD reference: Package review findings_","Highest","Design","3","epic-dsn","phase-0-foundation","phase-0","design-system","accessibility"
"Story","55","43","","Build the core component library","Build the shadcn/ui-based components that the 54 screens actually use, each one keyboard-accessible and direction-agnostic.

*Acceptance criteria*
* Buttons, inputs, selects, date pickers, sliders, tabs, dialogs, sheets, toasts, cards, badges and empty states are implemented.
* Every interactive component is reachable and operable by keyboard alone, with a visible focus ring.
* No component uses left/right physical properties where logical properties (inline-start/end) are required for RTL.
* Components are documented in Storybook with light, dark, LTR and RTL snapshots.

*Subtasks*
* Set up Storybook with theme and direction toolbars
* Implement form primitives: input, select, combobox, date-range, slider
* Implement overlay primitives: dialog, sheet, popover, toast
* Implement content primitives: card, badge, rating, price, empty state
* Add axe-core accessibility checks to every story

_BRD reference: Screen inventory, FR-005_","High","Design","8","epic-dsn","phase-0-foundation","phase-0","design-system",""
"Story","61","43","","Implement the responsive app shell","One shell that carries header, navigation, language switcher, auth state and footer across all three surfaces at 390px and 1440px.

*Acceptance criteria*
* The shell renders correctly at 390px and 1440px with no horizontal scroll.
* Navigation collapses to a mobile pattern below the breakpoint.
* The language switcher flips direction without a reload.
* Traveller, business and admin shells share primitives but differ in navigation.

*Subtasks*
* Build the traveller header, nav and footer
* Build the business portal sidebar shell
* Build the admin console shell
* Implement the language switcher with direction flip
* Verify both breakpoints against the Figma frames

_BRD reference: Screen inventory, FR-005_","High","Design","5","epic-dsn","phase-0-foundation","phase-0","design-system",""
"Story","67","43","","Finish the Figma source of truth for all 54 screens","34 of 54 core desktop frames are imported. Complete the remaining desktop frames, add the mobile pass, and arrange everything on the documented grid.

*Acceptance criteria*
* All 54 core routes exist as 1440px frames.
* A 390px mobile pass exists for the 20 highest-traffic routes.
* Frames are placed on the agreed grid: X = slot * 1600, six journey bands on the documented Y values.
* Cross-surface handoffs are annotated on the canvas.

*Subtasks*
* Import the 20 remaining traveller and account desktop frames
* Run the 390px mobile pass on the priority routes
* Arrange all frames onto the journey-band grid
* Annotate the four cross-surface handoffs
* Tidy layer naming and publish the file for review

_BRD reference: Figma import checklist_","Medium","Design","5","epic-dsn","phase-0-foundation","design","figma",""
"Epic","73","","Accounts, Identity & Preferences","Accounts, Identity & Preferences","Registration, sign-in, recovery, profile, preferences and the language choice that everything else reads from.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 7","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","74","73","","Implement registration, sign-in and sign-out","Secure email/password authentication with sessions, plus the groundwork for social sign-in later.

*Acceptance criteria*
* A user can register, sign in and sign out from web on mobile and desktop.
* Passwords are hashed with a modern KDF; plaintext never reaches logs or Sentry.
* Sessions are httpOnly, secure, SameSite and expire on a documented schedule.
* Protected routes redirect unauthenticated users and return them to the intended page after sign-in.

*Subtasks*
* Design the users, sessions and credentials tables
* Implement password hashing and the sign-up endpoint
* Implement session issue, refresh and revoke
* Build the /signin and /signup screens against the Figma frames
* Add route protection middleware on both client and server

_BRD reference: FR-001, AC-01_","Highest","Traveller","8","epic-acc","phase-0-foundation","auth","traveller",""
"Story","80","73","","Implement account recovery without account enumeration","A user can regain access, and an attacker cannot use the flow to learn which emails have accounts.

*Acceptance criteria*
* The forgot-password response is identical whether or not the address exists.
* Reset tokens are single-use, time-limited and invalidated on password change.
* All other sessions are revoked when a password is reset.
* Rate limiting blocks enumeration by volume.

*Subtasks*
* Implement reset-token issue and verification
* Build the /forgot-password and reset screens
* Send the reset email through the notification service
* Add rate limiting and a constant-time response path
* Write tests asserting identical responses for known and unknown emails

_BRD reference: FR-001_","Highest","Traveller","5","epic-acc","phase-0-foundation","auth","security",""
"Story","86","73","","Verify email addresses","Confirm the address is reachable before it can receive booking confirmations.

*Acceptance criteria*
* New accounts are unverified until the emailed link is used.
* Unverified accounts can browse but cannot book.
* The verification email can be resent with rate limiting.
* Verification state is visible in admin.

*Subtasks*
* Add verification token issue and confirm endpoints
* Build the verify-email and resend screens
* Gate booking on verified state
* Surface verification state on the admin user record

_BRD reference: FR-001_","High","Traveller","3","epic-acc","phase-0-foundation","auth","",""
"Story","91","73","","Build the profile and preferences screen","Let users set the basics the planner needs: name, language, home area, and the travel preferences that shape recommendations.

*Acceptance criteria*
* A user can set display name, language, home or start area and default group size.
* Dietary, accessibility, activity-intensity and interest preferences are editable and optional.
* Nothing sensitive is inferred - every preference is explicitly chosen by the user.
* Changes take effect on the next plan without needing a new account or session.

*Subtasks*
* Model the preference schema with controlled vocabularies
* Build the /settings profile and preferences UI
* Implement the preference read/write API
* Wire home-area selection to the map location picker
* Add a per-trip override so preferences are defaults, not constraints

_BRD reference: FR-002, FR-003, AC-01_","High","Traveller","5","epic-acc","phase-0-foundation","traveller","profile",""
"Story","97","73","","Implement language selection with Arabic RTL","Arabic, English and French, switchable at any time, with correct direction and no reload.

*Acceptance criteria*
* The three languages are selectable from the header and from settings.
* Arabic renders RTL with correct mirroring of icons, drawers and progress indicators.
* The choice persists for signed-in users and for guests via cookie.
* Language is reflected in the URL so a page can be shared in a specific language.

*Subtasks*
* Set up next-intl with the three locales and message catalogues
* Implement dir switching and logical CSS properties audit
* Add locale-prefixed routing
* Persist locale to the user profile and to a guest cookie
* Snapshot-test key screens in all three locales

_BRD reference: FR-005, AC-16_","Highest","Traveller","5","epic-acc","phase-0-foundation","i18n","traveller",""
"Story","103","73","","Build the account hub: trips, favorites, bookings and notifications","One place where a user finds everything they have saved or booked, scoped strictly to them.

*Acceptance criteria*
* /trips, /favorites, /bookings and /notifications each list the user's own records only.
* Empty states explain what the section is for and link to the relevant entry point.
* Items can be removed where policy permits; bookings are never silently deleted.
* Lists paginate and remain usable at 390px.

*Subtasks*
* Build the /trips list with status chips
* Build the /favorites grid with unfavorite
* Build the /bookings list with status and policy summary
* Build the /notifications list with read/unread
* Add ownership assertions to every query and a cross-user access test

_BRD reference: FR-004, FR-053_","High","Traveller","5","epic-acc","phase-0-foundation","traveller","profile",""
"Story","109","73","","Let users export and delete their data","Give users a working route to see what is held about them and to remove it, including personalisation signals.

*Acceptance criteria*
* A user can request an export and receive their profile, trips, favorites, reviews and bookings.
* A user can reset personalisation signals without deleting the account.
* Account deletion anonymises rather than destroys records that bookings and accounting depend on.
* Both actions are audit logged.

*Subtasks*
* Implement the data export job and download
* Implement personalisation-signal reset
* Implement account deletion with referential anonymisation
* Add the privacy section to /settings
* Document the retention policy per entity

_BRD reference: BR-22, BRD S16_","Medium","Traveller","3","epic-acc","phase-0-foundation","privacy","traveller",""
"Epic","115","","Catalogue, Search & Discovery","Catalogue, Search & Discovery","Everything a traveller can do before they ask for a plan: browse, search, filter, map, compare and save. This is the inventory layer the AI planner later reads from.

*Phase:* Phase 1 - Marketplace MVP
*Stories in this epic:* 8","High","Traveller","","epic-cat","phase-1-marketplace","","",""
"Story","116","115","","Model the catalogue: businesses, experiences, categories and media","The structured entities behind every listing, with the labelling rules that stop estimated prices being shown as firm ones.

*Acceptance criteria*
* Businesses, experiences, categories, tags, amenities, suitability labels and media are modelled and migrated.
* Every price carries currency, price type (fixed, from, estimated, quote-required) and an effective source.
* Only active and published entities are returned by public endpoints.
* Weather sensitivity (indoor, outdoor, weather-sensitive) is a first-class field.

*Subtasks*
* Write the catalogue migration with all constraints
* Define the category, tag, amenity and suitability taxonomies
* Implement the price-model value object with type and source
* Add the publish/unpublish state machine
* Write repository tests asserting unpublished content never leaks

_BRD reference: FR-010, FR-014, BR-01, BR-03_","Highest","Traveller","8","epic-cat","phase-1-marketplace","catalogue","database",""
"Story","122","115","","Build the browse and explore pages","The /explore surface with its filter rail, result grid and shareable state.

*Acceptance criteria*
* Users can browse destinations, experiences, attractions, restaurants and ready-made trips.
* Filters cover date, price, distance, category, group suitability, rating and availability where known.
* Filter state is encoded in the URL and restores exactly on reload or share.
* Results show count, active filter chips and a clear-all.

*Subtasks*
* Build the filter rail with all filter types
* Implement URL state sync for filters
* Build the result grid with skeleton and empty states
* Implement server-side filtering and pagination
* Add sort options and make the default explicit

_BRD reference: FR-010, FR-012, AC-02_","Highest","Traveller","8","epic-cat","phase-1-marketplace","catalogue","traveller",""
"Story","128","115","","Implement keyword and natural-language search","Search that handles a typed keyword and a typed sentence, and never returns something that is not a real listing.

*Acceptance criteria*
* Keyword search covers name, description, category and locality across the three languages.
* Natural-language queries are parsed into filters and run against the same index.
* Every result maps to a real internal entity ID; no result is generated text.
* Zero-result queries offer relaxations rather than a dead end.

*Subtasks*
* Set up full-text search with Arabic, English and French configurations
* Generate and store pgvector embeddings for experiences
* Implement hybrid keyword plus vector retrieval
* Implement the query-to-filter parser
* Build the zero-result relaxation suggestions

_BRD reference: FR-011, BR-01_","High","Traveller","8","epic-cat","phase-1-marketplace","catalogue","search",""
"Story","134","115","","Build the interactive map view","A map that stays in sync with the list, so a marker and a card are always the same thing.

*Acceptance criteria*
* Users can switch between list and map without losing filters or scroll position.
* Markers correspond exactly to the visible result set and open the matching detail card.
* Clustering handles dense areas such as Beirut without hiding results.
* The map is usable at 390px and degrades to the list if the map fails to load.

*Subtasks*
* Integrate Google Maps Platform with an API key restricted by referrer
* Implement marker rendering, clustering and hover sync
* Build the map detail card and its link to the listing
* Implement viewport-driven search with a search-this-area control
* Add the map failure fallback

_BRD reference: FR-013, AC-02_","Highest","Traveller","8","epic-cat","phase-1-marketplace","catalogue","maps",""
"Story","140","115","","Build the listing detail page","The page a traveller decides on: verified data, labelled prices, policies, availability status and the booking mode stated up front.

*Acceptance criteria*
* The page shows verified business data, price model, location, duration, policies, images and availability status.
* Estimated, from-price and quote-required values are explicitly labelled as such.
* The booking mode - instant confirm, request to book, or inquiry - is visible before any commitment.
* Add to trip and favorite are available without forcing AI plan generation.

*Subtasks*
* Build the gallery, header and key-facts block
* Build the price and policy block with explicit labelling
* Build the availability panel reflecting booking mode
* Implement add-to-trip and favorite from the detail page
* Add structured data markup for search engines

_BRD reference: FR-014, BR-03, BR-25_","Highest","Traveller","8","epic-cat","phase-1-marketplace","catalogue","traveller",""
"Story","146","115","","Implement favorites","Save a listing once, see it everywhere, and never end up with duplicates.

*Acceptance criteria*
* A user can favorite and unfavorite from grid, map card and detail page.
* A unique constraint prevents duplicate favorites at the database level.
* Favorites survive sign-out and sign-in.
* Optimistic UI rolls back cleanly if the write fails.

*Subtasks*
* Add the favorites table with a unique constraint
* Implement the toggle endpoint as idempotent
* Wire the favorite control into all three surfaces
* Handle the guest-to-signed-in favorite merge

_BRD reference: FR-015, FR-053_","High","Traveller","3","epic-cat","phase-1-marketplace","traveller","",""
"Story","151","115","","Build curated collections and ready-made trips","Editorial entry points for users who do not want to describe anything - a weekend in the north, a rainy-day list, a budget day out.

*Acceptance criteria*
* Admins can assemble collections from existing experiences.
* Collection pages render at /collections and each collection has its own page.
* A ready-made trip can be opened directly in the trip editor as a starting point.
* Collections respect publish state and never surface paused inventory.

*Subtasks*
* Model collections and collection items
* Build the admin collection editor
* Build the public collection index and detail pages
* Implement open-as-trip from a ready-made trip

_BRD reference: FR-010, FR-016_","Medium","Traveller","5","epic-cat","phase-1-marketplace","catalogue","content",""
"Story","156","115","","Surface related and nearby experiences","Suggestions that work without invoking the planner, with honest distance and travel-time context.

*Acceptance criteria*
* Each listing shows nearby and related experiences.
* Suggestions are based on location, category and compatibility, not on popularity invented by AI.
* Distance and estimated travel time are shown with each suggestion.
* Paused or unpublished inventory never appears.

*Subtasks*
* Implement the PostGIS nearby query with a tunable radius
* Implement category and attribute similarity scoring
* Build the related-experiences component
* Add travel-time context from the routing service

_BRD reference: FR-016_","Medium","Traveller","3","epic-cat","phase-1-marketplace","catalogue","discovery",""
"Epic","161","","Business Portal","Business Portal","The supply side: onboarding, verification, listings, availability, the booking inbox and performance metrics. Nothing a business publishes reaches a traveller without passing admin verification.

*Phase:* Phase 1 - Marketplace MVP
*Stories in this epic:* 10","High","Business","","epic-biz","phase-1-marketplace","","",""
"Story","162","161","","Build business registration and onboarding","A business can create an organisation account and start preparing listings while verification is pending.

*Acceptance criteria*
* A business can register an organisation and land in a pending-verification state.
* Pending businesses can draft listings but cannot publish them.
* The onboarding checklist shows exactly what is still required.
* The organisation is isolated by RLS from the first row written.

*Subtasks*
* Model organisations, memberships and verification state
* Build the business sign-up flow
* Build the onboarding checklist screen
* Block publish while verification is pending
* Add the org-scoped session context

_BRD reference: FR-060, AC-09_","Highest","Business","5","epic-biz","phase-1-marketplace","business","onboarding",""
"Story","168","161","","Build verification document submission","Collect what admin needs to verify a business, and make clear the badge is granted by Mshwar, never self-assigned.

*Acceptance criteria*
* A business can submit registration details and supporting documents.
* Uploaded documents are stored privately and are not publicly reachable.
* Verification state transitions are audit logged with actor and reason.
* The verified badge can only be set by an admin action.

*Subtasks*
* Build the document upload with private storage and signed URLs
* Model the verification submission and its review states
* Build the submission screen and status tracker
* Add the audit log entries for every state change

_BRD reference: FR-060, BR-02_","High","Business","5","epic-biz","phase-1-marketplace","business","trust",""
"Story","173","161","","Implement staff invitations and role-based permissions","An owner can bring in staff without handing over finance and settings access.

*Acceptance criteria*
* An owner can invite staff by email and assign a role.
* Roles limit access to listings, bookings, finance and settings independently.
* A staff member of one organisation cannot read any data from another.
* Invitations expire and can be revoked.

*Subtasks*
* Define the role and permission matrix
* Implement invitation issue, accept and revoke
* Enforce permissions in the API and hide unauthorised UI
* Build the team management screen
* Write cross-org and cross-role access tests

_BRD reference: FR-061, BR-21_","Medium","Business","5","epic-biz","phase-1-marketplace","business","security",""
"Story","179","161","","Build the listing and experience editor","The form a business fills in to create sellable inventory, with validation strict enough that the planner can trust the output.

*Acceptance criteria*
* A business can create and edit listings with category, images, location, duration, pricing and policies.
* Required fields and data types are validated before publication, not after.
* Location is set on a map and validated to fall inside Lebanon.
* Weather sensitivity and group suitability are set at creation.

*Subtasks*
* Build the multi-step experience editor
* Implement image upload through ImageKit with transformations
* Implement the map location picker with coordinate validation
* Implement the pricing editor with price type and currency
* Implement the publish gate with a pre-publish validation report

_BRD reference: FR-062, AC-09, BR-03_","Highest","Business","8","epic-biz","phase-1-marketplace","business","catalogue",""
"Story","185","161","","Build opening hours, slots, capacity and blackout management","The availability model the booking engine and the planner both read from.

*Acceptance criteria*
* A business can set weekly opening hours and dated exceptions.
* Slots carry start, end, capacity and remaining capacity.
* Blackout dates remove availability without deleting the slot definition.
* Every availability record stores last-updated timestamp and source.

*Subtasks*
* Model opening hours, exceptions, slots and blackouts
* Build the weekly hours editor
* Build the slot generator with recurrence rules
* Build the calendar view with blackout toggling
* Record actor and timestamp on every change

_BRD reference: FR-063, FR-041, BR-08_","Highest","Business","8","epic-biz","phase-1-marketplace","business","availability",""
"Story","191","161","","Build the booking inbox","Where a business sees requests and answers them, with the answer flowing straight back to the traveller's itinerary.

*Acceptance criteria*
* Requests appear in the inbox with party size, date, experience and traveller note.
* A business can confirm or reject with a reason and an optional message.
* The response updates the traveller's itinerary and triggers a notification.
* Only bookings belonging to the organisation are visible.

*Subtasks*
* Build the inbox list with status and date filters
* Build the request detail and respond panel
* Implement confirm and reject with reason capture
* Wire the response to the notification outbox
* Add the org-scope assertion test

_BRD reference: FR-064, FR-066, AC-09_","Highest","Business","8","epic-biz","phase-1-marketplace","business","booking",""
"Story","197","161","","Build the booking calendar and list views","A business needs both a day-by-day operational view and a filterable list.

*Acceptance criteria*
* Bookings render on a calendar by day and week.
* The list filters by status, date range and experience.
* Both views show capacity consumed against capacity available.
* Export to CSV is available for the filtered set.

*Subtasks*
* Build the calendar component with day and week modes
* Build the filterable booking list
* Add the capacity-utilisation indicator
* Implement filtered CSV export

_BRD reference: FR-066_","High","Business","5","epic-biz","phase-1-marketplace","business","booking",""
"Story","202","161","","Implement pause and unpublish without data loss","A business must be able to stop taking bookings tomorrow without erasing last month.

*Acceptance criteria*
* An experience can be paused; it stops appearing in search and in new itineraries immediately.
* Existing bookings, reviews and analytics for the paused experience are preserved.
* Unpausing restores visibility without re-entering data.
* Paused state is visible in the business portal and in admin.

*Subtasks*
* Add the paused state and exclude it from all public queries
* Verify the planner excludes paused inventory
* Add pause and unpause controls with confirmation
* Write a test asserting historical records survive a pause

_BRD reference: FR-068, BR-24_","High","Business","3","epic-biz","phase-1-marketplace","business","catalogue",""
"Story","207","161","","Build the business performance dashboard","Views, saves, itinerary inclusions, booking requests, confirmations and revenue - all derived from auditable events, not estimates.

*Acceptance criteria*
* The dashboard shows views, saves, itinerary inclusions, requests, confirmations and revenue where applicable.
* Every metric traces back to a recorded platform event.
* Date-range filtering works and the comparison period is stated.
* Metrics are org-scoped and cannot leak across organisations.

*Subtasks*
* Define the event taxonomy for business-facing metrics
* Implement event capture at each surface
* Build the aggregation queries with date ranges
* Build the dashboard screen with charts and an export

_BRD reference: FR-067_","Medium","Business","5","epic-biz","phase-1-marketplace","business","analytics",""
"Story","212","161","","Separate public and internal business contact details","The phone number on the listing and the number operations calls at 8am are not the same number.

*Acceptance criteria*
* A business can set public contact details and separate internal fulfilment contacts.
* Internal contacts are never returned by public endpoints.
* Fulfilment instructions reach the confirmation email but not the public page.
* A test asserts internal fields are absent from the public serializer.

*Subtasks*
* Split the contact model into public and internal
* Build the contact and fulfilment settings screen
* Audit the public serializers for leakage
* Include fulfilment instructions in confirmation notifications only

_BRD reference: FR-069_","Medium","Business","3","epic-biz","phase-1-marketplace","business","privacy",""
"Epic","217","","Admin, Moderation & Operations Console","Admin, Moderation & Operations Console","The operations surface that stands between supply and demand: verification, moderation, taxonomy, support, configuration and platform health. Every action here is audited.

*Phase:* Phase 1 - Marketplace MVP
*Stories in this epic:* 9","High","Admin","","epic-adm","phase-1-marketplace","","",""
"Story","218","217","","Build the admin authentication and permission model","Admin is a separate privilege level, not a flag on a normal account, and sensitive actions need elevated permission.

*Acceptance criteria*
* Admin access requires a distinct role that cannot be self-granted.
* Sensitive actions - financial overrides, booking state changes - require an elevated permission beyond basic admin.
* Every admin session is logged with actor, IP and duration.
* Admin routes are unreachable and invisible to non-admin accounts.

*Subtasks*
* Model admin roles and the elevated-permission tier
* Implement admin route guards on client and server
* Add admin session logging
* Build the admin role management screen
* Write privilege-escalation tests

_BRD reference: FR-070, FR-073, BR-20_","Highest","Admin","5","epic-adm","phase-1-marketplace","admin","security",""
"Story","224","217","","Build the business verification queue","The queue where a submitted business becomes a verified one, or does not, with a reason either way.

*Acceptance criteria*
* An admin can review, approve, reject, suspend and re-verify businesses.
* Every action requires a reason and is written to the audit log.
* Approval sets the verified badge; nothing else can set it.
* The business is notified of the outcome with the reason where appropriate.

*Subtasks*
* Build the verification queue list with filters and SLA age
* Build the review detail with document viewer
* Implement approve, reject, suspend and re-verify with reason capture
* Wire outcome notifications to the business
* Add audit log entries for every transition

_BRD reference: FR-070, BR-02, AC-10_","Highest","Admin","8","epic-adm","phase-1-marketplace","admin","trust",""
"Story","230","217","","Build content moderation for listings, images and reviews","Moderate abuse without rewriting what people actually said, and keep the evidence.

*Acceptance criteria*
* An admin can moderate listings, images, reviews and other user-generated content.
* Moderation preserves the original content and history for audit and support.
* A review can be hidden for policy violation but never edited into different words.
* Bulk actions are available for obvious spam waves.

*Subtasks*
* Build the moderation queue with content-type filters
* Implement hide, restore and escalate actions with evidence retention
* Build the image moderation view
* Implement bulk moderation with a confirmation step
* Add the moderation audit trail

_BRD reference: FR-071, BR-11, AC-10_","High","Admin","8","epic-adm","phase-1-marketplace","admin","trust",""
"Story","236","217","","Build taxonomy management","Categories, tags, amenities, suitability labels and weather-sensitivity classes, editable without a deploy and without breaking existing records.

*Acceptance criteria*
* An admin can create, rename, merge and retire taxonomy terms.
* Changes propagate to search and planning without orphaning existing assignments.
* Retiring a term keeps historical assignments intact and stops new ones.
* Term changes are versioned and audited.

*Subtasks*
* Build the taxonomy CRUD screens
* Implement merge and retire with reassignment
* Trigger search reindex on taxonomy change
* Add taxonomy change auditing

_BRD reference: FR-072_","High","Admin","5","epic-adm","phase-1-marketplace","admin","catalogue",""
"Story","241","217","","Build booking and payment inspection with support actions","When a traveller calls, operations needs the whole picture and a safe set of levers.

*Acceptance criteria*
* An admin can inspect any booking with its full state history, price snapshot and policy snapshot.
* Payment records and their provider references are visible without exposing secrets.
* Authorised support actions - force-cancel, mark refunded, resend confirmation - require elevated permission and a reason.
* Every support action is audit logged and visible on the booking timeline.

*Subtasks*
* Build the booking inspector with the full state timeline
* Surface payment records and reconciliation status
* Implement the elevated support actions with reason capture
* Add the booking audit timeline component
* Write tests asserting non-elevated admins cannot perform financial actions

_BRD reference: FR-073, BR-20_","High","Admin","8","epic-adm","phase-1-marketplace","admin","booking",""
