"Work type","Work item ID","Parent","Epic Name","Summary","Description","Priority","Component","Story Points","Labels","Labels","Labels","Labels","Labels"
"Sub-task","11","8","","Configure SQLAlchemy engine, pooling and statement timeouts","Subtask of: Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","12","8","","Add an extension smoke-test to the test suite","Subtask of: Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","13","8","","Document the Supabase vs self-hosted decision and its trade-offs","Subtask of: Provision PostgreSQL 17 with PostGIS, pgvector and btree_gist

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","14","1","","Land the core schema migrations 001-005","Apply the five authored migrations (identity, catalogue, availability, booking/payment, AI/ops) and make them re-runnable from an empty database.

*Acceptance criteria*
* `alembic upgrade head` succeeds from an empty database with zero manual steps.
* `alembic downgrade base` runs clean, proving every migration is reversible.
* Every table has an owner, a primary key strategy and created_at/updated_at.
* Migration order has no forward references.

*Subtasks*
* Convert the five SQL files into ordered Alembic revisions
* Add downgrade paths for each revision
* Add a CI job that runs upgrade head then downgrade base on a scratch database
* Generate and commit an ERD from the live schema
* Document the entity model in the repo wiki

_BRD reference: BRD S13, migrations 001-005_","Highest","Platform","8","epic-fnd","phase-0-foundation","phase-0","database",""
"Sub-task","15","14","","Convert the five SQL files into ordered Alembic revisions","Subtask of: Land the core schema migrations 001-005

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","16","14","","Add downgrade paths for each revision","Subtask of: Land the core schema migrations 001-005

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","17","14","","Add a CI job that runs upgrade head then downgrade base on a scratch database","Subtask of: Land the core schema migrations 001-005

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","18","14","","Generate and commit an ERD from the live schema","Subtask of: Land the core schema migrations 001-005

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","19","14","","Document the entity model in the repo wiki","Subtask of: Land the core schema migrations 001-005

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","20","1","","Enforce row-level security and tenant isolation at the database layer","Business staff must never see another organisation's bookings or customers. Enforce that in Postgres with FORCE ROW LEVEL SECURITY rather than relying on application filters alone.

*Acceptance criteria*
* RLS is enabled and FORCED on every table holding org-scoped or user-scoped data.
* The application connects as a non-superuser role that cannot bypass RLS.
* A test proves org A cannot read org B's bookings even with a crafted query.
* Session context (current org, current user) is set on every request and cleared on release.

*Subtasks*
* Define the app database role and revoke BYPASSRLS
* Write RLS policies for org-scoped tables (listings, experiences, slots, bookings)
* Write RLS policies for user-scoped tables (trips, favorites, notifications)
* Add SET LOCAL session-context middleware in FastAPI
* Write cross-tenant isolation tests that must fail closed

_BRD reference: BR-21, FR-060, FR-066_","Highest","Platform","8","epic-fnd","phase-0-foundation","phase-0","database","security"
"Sub-task","21","20","","Define the app database role and revoke BYPASSRLS","Subtask of: Enforce row-level security and tenant isolation at the database layer

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","22","20","","Write RLS policies for org-scoped tables (listings, experiences, slots, bookings)","Subtask of: Enforce row-level security and tenant isolation at the database layer

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","23","20","","Write RLS policies for user-scoped tables (trips, favorites, notifications)","Subtask of: Enforce row-level security and tenant isolation at the database layer

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","24","20","","Add SET LOCAL session-context middleware in FastAPI","Subtask of: Enforce row-level security and tenant isolation at the database layer

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","25","20","","Write cross-tenant isolation tests that must fail closed","Subtask of: Enforce row-level security and tenant isolation at the database layer

_Epic: Foundation & Platform Setup_","Highest","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","26","1","","Build the environment and secrets strategy","Define local, staging and production environments with separate credentials, and make sure no secret can reach the client bundle or a log line.

*Acceptance criteria*
* Three environments exist with separate databases and separate third-party keys.
* Secrets come from the platform secret store, never from committed files.
* A CI check fails the build if a secret pattern appears in the repo or in a client bundle.
* Rotating a key requires no code change.

*Subtasks*
* Define the env-var contract and validate it at boot with Pydantic Settings
* Configure Vercel and backend-host environment variables per stage
* Add gitleaks or equivalent secret scanning to CI
* Write the key-rotation runbook

_BRD reference: BRD S25, AC-15_","High","Platform","3","epic-fnd","phase-0-foundation","phase-0","devex","security"
"Sub-task","27","26","","Define the env-var contract and validate it at boot with Pydantic Settings","Subtask of: Build the environment and secrets strategy

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","28","26","","Configure Vercel and backend-host environment variables per stage","Subtask of: Build the environment and secrets strategy

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","29","26","","Add gitleaks or equivalent secret scanning to CI","Subtask of: Build the environment and secrets strategy

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","30","26","","Write the key-rotation runbook","Subtask of: Build the environment and secrets strategy

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","31","1","","Set up CI/CD with quality gates","Every pull request runs the same checks, and merging to main deploys to staging automatically.

*Acceptance criteria*
* PRs run lint, type-check, unit tests and migration up/down.
* Coverage is reported and a floor is enforced on changed files.
* Merge to main deploys the frontend to Vercel preview and the API to staging.
* A failed deploy rolls back without manual database surgery.

*Subtasks*
* Create the GitHub Actions workflow for the web app
* Create the workflow for the API including a Postgres service container
* Add coverage reporting and the changed-files threshold
* Wire staging auto-deploy and a manual production promotion gate
* Document the branch and release strategy

_BRD reference: BRD S24, S25_","High","Platform","5","epic-fnd","phase-0-foundation","phase-0","devex",""
"Sub-task","32","31","","Create the GitHub Actions workflow for the web app","Subtask of: Set up CI/CD with quality gates

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","33","31","","Create the workflow for the API including a Postgres service container","Subtask of: Set up CI/CD with quality gates

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","34","31","","Add coverage reporting and the changed-files threshold","Subtask of: Set up CI/CD with quality gates

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","35","31","","Wire staging auto-deploy and a manual production promotion gate","Subtask of: Set up CI/CD with quality gates

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","36","31","","Document the branch and release strategy","Subtask of: Set up CI/CD with quality gates

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Story","37","1","","Build the seed and demo-data toolkit","The AI planner can only be demonstrated against real, verified Lebanese inventory. Build a repeatable seeder so any environment can be filled with credible data.

*Acceptance criteria*
* A single command seeds a coherent Lebanon dataset: regions, businesses, experiences, prices, hours, slots and images.
* Seeded coordinates are valid and fall inside Lebanon.
* Seed data is idempotent - running it twice does not duplicate rows.
* At least 60 experiences across 8+ categories and 6+ regions, enough for the planner to produce varied itineraries.

*Subtasks*
* Define the seed data format and validation rules
* Curate the Lebanon region and locality reference list
* Curate 60+ real experiences with categories, durations, price models and hours
* Write the idempotent seeder command with upsert-by-natural-key
* Add a coordinate and opening-hours sanity checker

_BRD reference: AC-02, AC-03, BR-01_","High","Platform","5","epic-fnd","phase-0-foundation","phase-0","data",""
"Sub-task","38","37","","Define the seed data format and validation rules","Subtask of: Build the seed and demo-data toolkit

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","39","37","","Curate the Lebanon region and locality reference list","Subtask of: Build the seed and demo-data toolkit

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","40","37","","Curate 60+ real experiences with categories, durations, price models and hours","Subtask of: Build the seed and demo-data toolkit

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","41","37","","Write the idempotent seeder command with upsert-by-natural-key","Subtask of: Build the seed and demo-data toolkit

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Sub-task","42","37","","Add a coordinate and opening-hours sanity checker","Subtask of: Build the seed and demo-data toolkit

_Epic: Foundation & Platform Setup_","High","Platform","","epic-fnd","phase-0-foundation","","",""
"Epic","43","","Design System & UI Foundation","Design System & UI Foundation","Turn the brand foundation and the imported Figma frames into coded, accessible, tri-lingual components. This is the epic that connects the design work already done to the code.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 5","High","Design","","epic-dsn","phase-0-foundation","","",""
"Story","44","43","","Codify brand tokens as the single source of truth","Convert the brand package into design tokens consumed by both Figma and Tailwind, so a colour change happens in one place.

*Acceptance criteria*
* Colour, type, spacing, radius, elevation and motion tokens exist in one JSON source.
* Tailwind theme is generated from that source, not hand-maintained.
* Light and dark palettes are both defined; no colour is defined only inside a media query.
* Token names are semantic (surface, accent, danger), not literal (orange-500).

*Subtasks*
* Author the token JSON from the brand package
* Generate the Tailwind theme and CSS custom properties from tokens
* Define the dark-mode token overrides
* Publish the tokens as a Figma variables collection
* Document the token naming convention

_BRD reference: Brand foundation package_","Highest","Design","5","epic-dsn","phase-0-foundation","phase-0","design-system",""
"Sub-task","45","44","","Author the token JSON from the brand package","Subtask of: Codify brand tokens as the single source of truth

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","46","44","","Generate the Tailwind theme and CSS custom properties from tokens","Subtask of: Codify brand tokens as the single source of truth

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","47","44","","Define the dark-mode token overrides","Subtask of: Codify brand tokens as the single source of truth

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","48","44","","Publish the tokens as a Figma variables collection","Subtask of: Codify brand tokens as the single source of truth

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","49","44","","Document the token naming convention","Subtask of: Codify brand tokens as the single source of truth

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Story","50","43","","Fix the contrast failures found in the brand review","Several brand pairings fall below WCAG AA. Correct them at token level before components are built on top of them.

*Acceptance criteria*
* Every text/background pair used in the product meets 4.5:1, or 3:1 for large text.
* Control boundaries and focus rings meet the 3:1 non-text contrast requirement of WCAG 1.4.11.
* A contrast test runs in CI against the token file and fails on regression.
* The corrected values are pushed back into the brand package and Figma variables.

*Subtasks*
* Recompute relative luminance for every token pairing in use
* Adjust the failing accent and muted-text values
* Write the automated contrast assertion over the token JSON
* Update the brand package document with corrected swatches

_BRD reference: Package review findings_","Highest","Design","3","epic-dsn","phase-0-foundation","phase-0","design-system","accessibility"
"Sub-task","51","50","","Recompute relative luminance for every token pairing in use","Subtask of: Fix the contrast failures found in the brand review

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","52","50","","Adjust the failing accent and muted-text values","Subtask of: Fix the contrast failures found in the brand review

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","53","50","","Write the automated contrast assertion over the token JSON","Subtask of: Fix the contrast failures found in the brand review

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","54","50","","Update the brand package document with corrected swatches","Subtask of: Fix the contrast failures found in the brand review

_Epic: Design System & UI Foundation_","Highest","Design","","epic-dsn","phase-0-foundation","","",""
"Story","55","43","","Build the core component library","Build the shadcn/ui-based components that the 54 screens actually use, each one keyboard-accessible and direction-agnostic.

*Acceptance criteria*
* Buttons, inputs, selects, date pickers, sliders, tabs, dialogs, sheets, toasts, cards, badges and empty states are implemented.
* Every interactive component is reachable and operable by keyboard alone, with a visible focus ring.
* No component uses left/right physical properties where logical properties (inline-start/end) are required for RTL.
* Components are documented in Storybook with light, dark, LTR and RTL snapshots.

*Subtasks*
* Set up Storybook with theme and direction toolbars
* Implement form primitives: input, select, combobox, date-range, slider
* Implement overlay primitives: dialog, sheet, popover, toast
* Implement content primitives: card, badge, rating, price, empty state
* Add axe-core accessibility checks to every story

_BRD reference: Screen inventory, FR-005_","High","Design","8","epic-dsn","phase-0-foundation","phase-0","design-system",""
"Sub-task","56","55","","Set up Storybook with theme and direction toolbars","Subtask of: Build the core component library

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","57","55","","Implement form primitives: input, select, combobox, date-range, slider","Subtask of: Build the core component library

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","58","55","","Implement overlay primitives: dialog, sheet, popover, toast","Subtask of: Build the core component library

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","59","55","","Implement content primitives: card, badge, rating, price, empty state","Subtask of: Build the core component library

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","60","55","","Add axe-core accessibility checks to every story","Subtask of: Build the core component library

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Story","61","43","","Implement the responsive app shell","One shell that carries header, navigation, language switcher, auth state and footer across all three surfaces at 390px and 1440px.

*Acceptance criteria*
* The shell renders correctly at 390px and 1440px with no horizontal scroll.
* Navigation collapses to a mobile pattern below the breakpoint.
* The language switcher flips direction without a reload.
* Traveller, business and admin shells share primitives but differ in navigation.

*Subtasks*
* Build the traveller header, nav and footer
* Build the business portal sidebar shell
* Build the admin console shell
* Implement the language switcher with direction flip
* Verify both breakpoints against the Figma frames

_BRD reference: Screen inventory, FR-005_","High","Design","5","epic-dsn","phase-0-foundation","phase-0","design-system",""
"Sub-task","62","61","","Build the traveller header, nav and footer","Subtask of: Implement the responsive app shell

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","63","61","","Build the business portal sidebar shell","Subtask of: Implement the responsive app shell

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","64","61","","Build the admin console shell","Subtask of: Implement the responsive app shell

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","65","61","","Implement the language switcher with direction flip","Subtask of: Implement the responsive app shell

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","66","61","","Verify both breakpoints against the Figma frames","Subtask of: Implement the responsive app shell

_Epic: Design System & UI Foundation_","High","Design","","epic-dsn","phase-0-foundation","","",""
"Story","67","43","","Finish the Figma source of truth for all 54 screens","34 of 54 core desktop frames are imported. Complete the remaining desktop frames, add the mobile pass, and arrange everything on the documented grid.

*Acceptance criteria*
* All 54 core routes exist as 1440px frames.
* A 390px mobile pass exists for the 20 highest-traffic routes.
* Frames are placed on the agreed grid: X = slot * 1600, six journey bands on the documented Y values.
* Cross-surface handoffs are annotated on the canvas.

*Subtasks*
* Import the 20 remaining traveller and account desktop frames
* Run the 390px mobile pass on the priority routes
* Arrange all frames onto the journey-band grid
* Annotate the four cross-surface handoffs
* Tidy layer naming and publish the file for review

_BRD reference: Figma import checklist_","Medium","Design","5","epic-dsn","phase-0-foundation","design","figma",""
"Sub-task","68","67","","Import the 20 remaining traveller and account desktop frames","Subtask of: Finish the Figma source of truth for all 54 screens

_Epic: Design System & UI Foundation_","Medium","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","69","67","","Run the 390px mobile pass on the priority routes","Subtask of: Finish the Figma source of truth for all 54 screens

_Epic: Design System & UI Foundation_","Medium","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","70","67","","Arrange all frames onto the journey-band grid","Subtask of: Finish the Figma source of truth for all 54 screens

_Epic: Design System & UI Foundation_","Medium","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","71","67","","Annotate the four cross-surface handoffs","Subtask of: Finish the Figma source of truth for all 54 screens

_Epic: Design System & UI Foundation_","Medium","Design","","epic-dsn","phase-0-foundation","","",""
"Sub-task","72","67","","Tidy layer naming and publish the file for review","Subtask of: Finish the Figma source of truth for all 54 screens

_Epic: Design System & UI Foundation_","Medium","Design","","epic-dsn","phase-0-foundation","","",""
"Epic","73","","Accounts, Identity & Preferences","Accounts, Identity & Preferences","Registration, sign-in, recovery, profile, preferences and the language choice that everything else reads from.

*Phase:* Phase 0 - Foundation
*Stories in this epic:* 7","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","74","73","","Implement registration, sign-in and sign-out","Secure email/password authentication with sessions, plus the groundwork for social sign-in later.

*Acceptance criteria*
* A user can register, sign in and sign out from web on mobile and desktop.
* Passwords are hashed with a modern KDF; plaintext never reaches logs or Sentry.
* Sessions are httpOnly, secure, SameSite and expire on a documented schedule.
* Protected routes redirect unauthenticated users and return them to the intended page after sign-in.

*Subtasks*
* Design the users, sessions and credentials tables
* Implement password hashing and the sign-up endpoint
* Implement session issue, refresh and revoke
* Build the /signin and /signup screens against the Figma frames
* Add route protection middleware on both client and server

_BRD reference: FR-001, AC-01_","Highest","Traveller","8","epic-acc","phase-0-foundation","auth","traveller",""
"Sub-task","75","74","","Design the users, sessions and credentials tables","Subtask of: Implement registration, sign-in and sign-out

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","76","74","","Implement password hashing and the sign-up endpoint","Subtask of: Implement registration, sign-in and sign-out

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","77","74","","Implement session issue, refresh and revoke","Subtask of: Implement registration, sign-in and sign-out

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","78","74","","Build the /signin and /signup screens against the Figma frames","Subtask of: Implement registration, sign-in and sign-out

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","79","74","","Add route protection middleware on both client and server","Subtask of: Implement registration, sign-in and sign-out

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","80","73","","Implement account recovery without account enumeration","A user can regain access, and an attacker cannot use the flow to learn which emails have accounts.

*Acceptance criteria*
* The forgot-password response is identical whether or not the address exists.
* Reset tokens are single-use, time-limited and invalidated on password change.
* All other sessions are revoked when a password is reset.
* Rate limiting blocks enumeration by volume.

*Subtasks*
* Implement reset-token issue and verification
* Build the /forgot-password and reset screens
* Send the reset email through the notification service
* Add rate limiting and a constant-time response path
* Write tests asserting identical responses for known and unknown emails

_BRD reference: FR-001_","Highest","Traveller","5","epic-acc","phase-0-foundation","auth","security",""
"Sub-task","81","80","","Implement reset-token issue and verification","Subtask of: Implement account recovery without account enumeration

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","82","80","","Build the /forgot-password and reset screens","Subtask of: Implement account recovery without account enumeration

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","83","80","","Send the reset email through the notification service","Subtask of: Implement account recovery without account enumeration

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","84","80","","Add rate limiting and a constant-time response path","Subtask of: Implement account recovery without account enumeration

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","85","80","","Write tests asserting identical responses for known and unknown emails","Subtask of: Implement account recovery without account enumeration

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","86","73","","Verify email addresses","Confirm the address is reachable before it can receive booking confirmations.

*Acceptance criteria*
* New accounts are unverified until the emailed link is used.
* Unverified accounts can browse but cannot book.
* The verification email can be resent with rate limiting.
* Verification state is visible in admin.

*Subtasks*
* Add verification token issue and confirm endpoints
* Build the verify-email and resend screens
* Gate booking on verified state
* Surface verification state on the admin user record

_BRD reference: FR-001_","High","Traveller","3","epic-acc","phase-0-foundation","auth","",""
"Sub-task","87","86","","Add verification token issue and confirm endpoints","Subtask of: Verify email addresses

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","88","86","","Build the verify-email and resend screens","Subtask of: Verify email addresses

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","89","86","","Gate booking on verified state","Subtask of: Verify email addresses

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","90","86","","Surface verification state on the admin user record","Subtask of: Verify email addresses

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","91","73","","Build the profile and preferences screen","Let users set the basics the planner needs: name, language, home area, and the travel preferences that shape recommendations.

*Acceptance criteria*
* A user can set display name, language, home or start area and default group size.
* Dietary, accessibility, activity-intensity and interest preferences are editable and optional.
* Nothing sensitive is inferred - every preference is explicitly chosen by the user.
* Changes take effect on the next plan without needing a new account or session.

*Subtasks*
* Model the preference schema with controlled vocabularies
* Build the /settings profile and preferences UI
* Implement the preference read/write API
* Wire home-area selection to the map location picker
* Add a per-trip override so preferences are defaults, not constraints

_BRD reference: FR-002, FR-003, AC-01_","High","Traveller","5","epic-acc","phase-0-foundation","traveller","profile",""
"Sub-task","92","91","","Model the preference schema with controlled vocabularies","Subtask of: Build the profile and preferences screen

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","93","91","","Build the /settings profile and preferences UI","Subtask of: Build the profile and preferences screen

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","94","91","","Implement the preference read/write API","Subtask of: Build the profile and preferences screen

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","95","91","","Wire home-area selection to the map location picker","Subtask of: Build the profile and preferences screen

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","96","91","","Add a per-trip override so preferences are defaults, not constraints","Subtask of: Build the profile and preferences screen

_Epic: Accounts, Identity & Preferences_","High","Traveller","","epic-acc","phase-0-foundation","","",""
"Story","97","73","","Implement language selection with Arabic RTL","Arabic, English and French, switchable at any time, with correct direction and no reload.

*Acceptance criteria*
* The three languages are selectable from the header and from settings.
* Arabic renders RTL with correct mirroring of icons, drawers and progress indicators.
* The choice persists for signed-in users and for guests via cookie.
* Language is reflected in the URL so a page can be shared in a specific language.

*Subtasks*
* Set up next-intl with the three locales and message catalogues
* Implement dir switching and logical CSS properties audit
* Add locale-prefixed routing
* Persist locale to the user profile and to a guest cookie
* Snapshot-test key screens in all three locales

_BRD reference: FR-005, AC-16_","Highest","Traveller","5","epic-acc","phase-0-foundation","i18n","traveller",""
"Sub-task","98","97","","Set up next-intl with the three locales and message catalogues","Subtask of: Implement language selection with Arabic RTL

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
"Sub-task","99","97","","Implement dir switching and logical CSS properties audit","Subtask of: Implement language selection with Arabic RTL

_Epic: Accounts, Identity & Preferences_","Highest","Traveller","","epic-acc","phase-0-foundation","","",""
